obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,line_ref,Aki(s^-1),Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k
583.8312,0.0004,583.831241,2.1e-05,10,L12239,,,,,,,,,
583.9266,0.0003,583.926663,1.7e-05,84,L3552,,,,,,,,,
583.94822,0.0001,583.948297,5e-06,140,L18702,,,,,,,,,
583.94969,0.0001,583.949647,1.1e-05,170,L18702,,,,,,,,,
583.9591,5e-05,583.959028,4e-06,220,L5951,,,,,,,,,
583.98513,4e-05,583.985131,3e-06,250,L5951,,,,,,,,,
584.0535,0.0003,584.052272,1.7e-05,84,L3552,,,,,,,,,
584.06405,1.7e-05,584.064043,4e-06,700,L18702,,,,,,,,,
584.1202,0.0003,584.120071,6e-06,26,L12239,,,,,,,,,
584.1758,0.0003,584.175875,1.7e-05,31,L3552,,,,,,,,,
584.1915,0.0003,584.192682,1.4e-05,160,L3552,,,,,,,,,
584.20499,5e-05,584.205045,8e-06,150,L5951,,,,,,,,,
584.2365,0.0003,584.236876,2.1e-05,17,L12239,,,,,,,,,
584.3011,0.0003,584.301501,5e-06,18,L12239,,,,,,,,,
584.3146,5e-05,584.31446,3e-05,200*,L5951,,,,,,,,,
584.3267,0.0003,584.326717,1.7e-05,110,L3552,,,,,,,,,
584.380626,2.4e-05,584.38069,3e-06,590,L18702,,,,,,,,,
584.4704,0.0003,584.469783,1.7e-05,31,L3552,,,,,,,,,
584.47908,5e-05,584.47905,3e-05,150,L5951,,,,,,,,,
584.4885,0.0003,584.488393,2.1e-05,14,L12239,,,,,,,,,
584.5308,0.0003,584.53047,3e-05,11,L12239,,,,,,,,,
584.5414,0.0004,584.54151,3e-05,9,L12239,,,,,,,,,
584.591886,2.1e-05,584.591887,3e-06,550,L18702,,,,,,,,,
584.8135,0.0003,584.813439,2.1e-05,42,L3552,,,,,,,,,
584.8277,0.0003,584.827235,1.7e-05,10,L3552,,,,,,,,,
584.8554,0.0003,584.855641,1.7e-05,270,L3552,,,,,,,,,
584.9514,0.0003,584.951407,1.7e-05,160,L3552,,,,,,,,,
584.9768,0.0003,584.976728,1.1e-05,30,L12239,,,,,,,,,
585.0377,0.0003,585.037667,1.7e-05,25,L12239,,,,,,,,,
585.0566,0.0003,585.056703,1.4e-05,52,L3552,,,,,,,,,
585.0746,0.0003,585.07424,3e-05,26,L12239,,,,,,,,,
585.0804,0.0003,585.08109,3e-05,10,L12239,,,,,,,,,
585.12172,0.00024,585.121656,4e-06,41,L12239,,,,,,,,,
585.24846,3e-05,585.248479,5e-06,320,L18702,,,,,,,,,
585.26809,6e-06,585.268089,4e-06,2600,L18702,,,,,,,,,
585.2844,0.0003,585.284723,1.1e-05,160,L3552,,,,,,,,,
585.347451,1e-05,585.347457,3e-06,1300,L18702,,,,,,,,,
585.412049,7e-06,585.41205,5e-06,2000,L18702,,,,,,,,,
585.4858,0.0003,585.485974,2.1e-05,31,L3552,,,,,,,,,
585.54985,5e-05,585.549904,1.1e-05,220,L5951,,,,,,,,,
585.5789,0.0003,585.578272,7e-06,10,L3552,,,,,,,,,
585.5911,0.0003,585.591433,5e-06,14,L12239,,,,,,,,,
585.6112,0.00021,585.611235,6e-06,60,L12239,,,,,,,,,
585.62297,0.00021,585.622878,7e-06,58,L12239,,,,,,,,,
585.6678,0.0004,585.66742,3e-05,7,L12239,,,,,,,,,
585.7725,0.0003,585.77185,2.1e-05,21,L3552,,,,,,,,,
585.86379,5e-05,585.863762,5e-06,180,L5951,,,,,,,,,
585.87543,4e-05,585.875396,1.1e-05,310,L5951,,,,,,,,,
585.9348,0.0003,585.934803,8e-06,160,L3552,,,,,,,,,
586.0259,0.0003,586.025884,3e-06,160,L3552,,,,,,,,,
586.048,0.0003,586.048043,5e-06,160,L3552,,,,,,,,,
586.11896,0.00014,586.119182,3e-06,200,L12239,,,,,,,,,
586.1289,0.0003,586.128909,2.1e-05,85,L3552,,,,,,,,,
586.1894,0.0003,586.188731,2.1e-05,21,L3552,,,,,,,,,
586.2121,0.0003,586.21261,2.1e-05,21,L12239,,,,,,,,,
586.3146,0.0003,586.314736,1.4e-05,32,L3552,,,,,,,,,
586.3552,0.0003,586.355627,2.1e-05,17,L12239,,,,,,,,,
586.37185,9e-06,586.371827,3e-06,1400,L18702,,,,,,,,,
586.4128,0.0003,586.412705,9e-06,43,L3552,,,,,,,,,
586.68117,3e-05,586.681199,4e-06,330,L18702,,,,,,,,,
586.7542,0.0003,586.754588,2.1e-05,10,L3552,,,,,,,,,
586.7841,0.0003,586.784242,1.7e-05,220,L3552,,,,,,,,,
586.837475,2.4e-05,586.837463,7e-06,430,L18702,,,,,,,,,
586.9164,0.0003,586.916163,4e-06,86,L3552,,,,,,,,,
586.92,0.0003,586.920072,1.1e-05,21,L3552,,,,,,,,,
