obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"691.082"	"691.0818+"	"30"	"7.40e+05"	B+		
"692.222"	"692.2233+"	"8"	"3.0e+04"	D+		
"692.467"	"692.4646+"	"15"	""			
"692.553"	"692.5518+"	"100"	""			
"693.562"	"693.5606+"	"50"	""			
"693.669"	"693.6683+"	"8"	""			
"694.976"	"694.9746+"	""	""		E2	
"696.110"	"696.13+"	"20"	""			
"697.6182"	"697.6182+"	"100"	"1.91e+06"	B		
"698.205"	"698.2061+"	"30"	""			
"699.165"	"699.163+"	"1"	""			
"700.310"	"700.3099+"	"4"	""			
"701.902"	"701.9026+"	"30"	"3.5e+05"	C		
"703.480"	"703.475+"	"3"	""			
"703.553"	"703.5534+"	"20"	"4.00e+05"	B+		
"704.737"	"704.743+"	"30*"	""			
"704.737"	"704.7366+"	"30*"	"6.40e+05"	B+		
"704.907"	"704.913+"	"1h"	""			
"704.936"	"704.932+"	"1h"	""			
"705.106"	"705.1073+"	"3"	""			
"707.244"	"707.24+"	"30"	""			
"707.846"	"707.843+"	"1"	""			
"711.9598"	"711.9598+"	"500"	"8.39e+06"	B		
"713.657"	"713.6561+"	"15"	""			
"717.270"	"717.270+"	"10"	""			
"719.242"	"719.26+"	"4"	""			
"720.079"	"720.0797+"	"15"	""			
"720.914"	"720.912+"	"5"	""			
"722.024"	"722.025+"	"1"	""			
"722.264"	"722.31+"	"20"	""			
"723.820"	"723.820+"	"3"	""			
"724.494"	"724.4891+"	"20*"	""			
"724.494"	"724.4860+"	"20*"	""			
"724.992"	"724.9898+"	"2"	""			
"725.087"	"725.0855+"	"5h"	""			
"725.794"	"725.7908+"	"60"	""			
"726.254"	"726.2537+"	"20"	""			
"726.649"	"726.6492+"	"25"	""			
"728.3961"	"728.3962+"	"40"	""			
"728.5301"	"728.5302+"	"60"	"4.09e+06"	B		
"730.737"	"730.737+"	"5h"	""			
"731.301"	"731.298+"	"1h"	""			
"731.6272"	"731.6272+"	"70"	""			
