obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"535.781"	"535.77757"	"1*"	""			
"535.781"	"535.78369"	"1*"	""			
"535.781"	"535.78495"	"1*"	""			
"535.83797"	"535.83790"	"14"	""			
"535.8616"	"535.862916"	"2"	""			
"535.90657"	"535.90671"	"6"	""			
"536.4142"	"536.415428"	"1"	""			
"536.5485"	"536.548804"	"1"	""			
"537.2007"	"537.2005"	"2"	""			
"537.233"	"537.231557"	"0"	""			
"537.66347"	"537.66347"	"12"	""			
"537.8077"	"537.807900"	"7"	""			
"537.894"	"537.891246"	"0"	""			
"537.91666"	"537.91663"	"2"	""			
"538.2330"	"538.23376"	"2"	""			
"538.43742"	"538.43763"	"8"	""			
"538.6519"	"538.652450"	"2"	""			
"539.122"	"539.12310"	"0"	""			
"539.36015"	"539.360014"	"8"	""			
"539.481"	"539.485167"	"1"	""			
"539.75164"	"539.751766"	"35"	""			
"540.062"	"540.064103"	"1"	""			
"540.2170"	"540.217101"	"1"	""			
"540.26051"	"540.260594"	"15"	""			
"540.73448"	"540.734497"	"24"	""			
"540.9401"	"540.941250"	"1"	""			
"541.1646"	"541.165623"	"3"	""			
"541.24465"	"541.24471"	"6"	""			
"541.6710"	"541.672534"	"1"	""			
"542.503"	"542.50452"	"0"	""			
"543.294"	"543.29494"	"1"	""			
"543.9676"	"543.967273"	"3"	""			
"544.0524"	"544.05443"	"1"	""			
"544.0932"	"544.094953"	"2"	""			
"544.36893"	"544.369090"	"7"	""			
"544.7556"	"544.756954"	"2"	""			
"545.111"	"545.10654"	"0.5"	""			
"545.3634"	"545.35909"	"5*"	""			
"545.3634"	"545.36485"	"5*"	""			
"545.43052"	"545.429787"	"11*"	""			
"545.43052"	"545.43091"	"11*"	""			
"545.4757"	"545.478297"	"1"	""			
"545.6382"	"545.63726"	"5"	""			
"546.64338"	"546.643380"	"6"	""			
"546.9098"	"546.909882"	"4"	""			
"547.0307"	"547.032233"	"2"	""			
"547.2642"	"547.263971"	"1"	""			
"547.612"	"547.615070"	"0"	""			
"548.1997"	"548.199964"	"1"	""			
"548.4311"	"548.430572"	"1"	""			
"548.6102"	"548.610354"	"1"	""			
"549.0667"	"549.068191"	"1"	""			
"549.7123"	"549.712874"	"3"	""			
"549.81838"	"549.81844"	"8"	""			
"549.8972"	"549.898471"	"2bl"	""			
"550.03323"	"550.03327"	"10"	""			
"550.1480"	"550.14994"	"2l"	""			
"550.3256"	"550.32671"	"3"	""			
"550.413"	"550.412582"	"0"	""			
"550.445"	"550.44351"	"0"	""			
"550.4917"	"550.492048"	"3"	""			
"550.7762"	"550.77641"	"6"	""			
"551.3303"	"551.33050"	"1"	""			
"551.6668"	"551.668386"	"2"	""			
"551.9337"	"551.93427"	"4"	""			
"552.174"	"552.176121"	"1"	""			
"552.3690"	"552.370621"	"2"	""			
"552.5856"	"552.58839"	"2"	""			
"553.496"	"553.498992"	"0h"	""			
"553.551"	"553.553408"	"1h"	""			
"553.7290"	"553.729354"	"5"	""			
"554.3880"	"554.390429"	"1"	""			
"554.50492"	"554.505090"	"7"	""			
"555.40227"	"555.40221"	"29"	""			
"555.4146"	"555.41448"	"9"	""			
"556.3196"	"556.3223"	"2"	""			
"557.76857"	"557.76854"	"9"	""			
"557.8521"	"557.85266"	"4"	""			
"558.261"	"558.26116"	"1"	""			
"558.810"	"558.81021"	"0.5"	""			
"559.2200"	"559.221055"	"1"	""			
"559.352"	"559.3525"	"1"	""			
"560.262"	"560.265158"	"0.5"	""			
"560.39355"	"560.393621"	"3"	""			
"560.95799"	"560.958055"	"5"	""			
"561.1667"	"561.1670"	"2"	""			
"561.726"	"561.7261"	"0"	""			
"562.151"	"562.1515"	"0*"	""			
"562.151"	"562.1554"	"0*"	""			
"562.4005"	"562.40210"	"1"	""			
"562.56764"	"562.56783"	"10"	""			
"563.11568"	"563.115698"	"8"	""			
"563.1381"	"563.13984"	"1"	""			
"563.4661"	"563.465684"	"2"	""			
"563.58812"	"563.588127"	"13"	""			
"564.2413"	"564.242831"	"2"	"2.e+05"	C		
"565.368"	"565.36739"	"0"	""			
"565.4020"	"565.40233"	"2"	""			
"565.44555"	"565.445722"	"8"	""			
"565.5236"	"565.52562"	"2"	""			
"566.729"	"566.73051"	"0"	""			
"566.996"	"566.999541"	"0"	""			
"567.29766"	"567.297723"	"6"	""			
"568.1480"	"568.145510"	"2*"	""			
"568.1480"	"568.15028"	"2*"	""			
"569.16630"	"569.16615"	"11"	""			
"569.330"	"569.331570"	"0"	""			
"570.43766"	"570.43768"	"5"	""			
"570.7215"	"570.722766"	"1"	""			
"570.8616"	"570.86269"	"1"	""			
"571.1453"	"571.14620"	"1"	""			
"571.6029"	"571.603421"	"1"	""			
"572.4325"	"572.432524"	"5"	"4.e+05"	C		
"573.2210"	"573.221156"	"1"	""			
"573.2694"	"573.27038"	"1"	""			
"574.32756"	"574.327652"	"4"	""			
"574.939"	"574.939612"	"0"	""			
"575.354"	"575.35512"	"1"	""			
"575.6600"	"575.65986"	"3"	""			
"576.6542"	"576.64977"	"2*"	""			
"576.6542"	"576.655457"	"2*"	""			
"577.23230"	"577.23212"	"9"	""			
"577.318"	"577.317612"	"0h"	""			
"577.4697"	"577.47013"	"1"	""			
"577.6374"	"577.638169"	"2"	""			
"578.1268"	"578.12718"	"2"	""			
"578.235"	"578.23472"	"0.5"	""			
"578.6561"	"578.65558"	"4bl"	""			
"578.858"	"578.858306"	"0"	""			
"579.97401"	"579.973981"	"3"	""			
"580.046"	"580.04683"	"1"	""			
"580.7596"	"580.76126"	"1"	""			
"581.27604"	"581.275940"	"9"	""			
"581.356"	"581.36054"	"0.5"	""			
"581.6272"	"581.629122"	"2"	""			
"582.21291"	"582.212902"	"5"	""			
"582.60549"	"582.605517"	"3"	""			
"582.8059"	"582.80745"	"3"	""			
"583.547"	"583.549828"	"0"	""			
"583.896"	"583.89753"	"1"	""			
"584.0048"	"584.00691"	"1"	""			
"584.3781"	"584.377764"	"7"	"3.8e+04"	E		
"584.611"	"584.6079"	"0.5p"	""			
"585.274"	"585.277402"	"0"	""			
"585.310"	"585.310884"	"2"	""			
"585.42728"	"585.426667"	"4"	""			
"586.6598"	"586.66170"	"2"	""			
"587.0443"	"587.04528"	"4"	""			
"588.454"	"588.453611"	"0.5"	""			
"588.6088"	"588.60975"	"3"	""			
"589.416"	"589.41748"	"0h*"	""			
"589.416"	"589.42059"	"0h*"	""			
"590.178"	"590.18008"	"0"	""			
"590.178"	"590.18012"	"0"	""			
"590.4291"	"590.43078"	"2p?"	""			
"590.8674"	"590.867599"	"0.5"	""			
"591.549"	"591.54796"	"0"	""			
"592.308"	"592.30988"	"0*"	""			
"592.308"	"592.30991"	"0*"	""			
"592.677"	"592.674589"	"0.5"	""			
"593.5792"	"593.57980"	"2"	""			
"593.6309"	"593.6301"	"1"	""			
"593.664"	"593.664020"	"1"	""			
"594.1825"	"594.18214"	"4"	""			
"595.0905"	"595.090327"	"6"	"7.e+04"	E		
"595.38303"	"595.38310"	"5"	""			
"596.137"	"596.138698"	"0"	""			
"596.2744"	"596.275754"	"0.5"	""			
"596.5031"	"596.50404"	"3"	""			
"597.3314"	"597.33180"	"2"	""			
"597.59622"	"597.59530"	"5"	""			
"597.7995"	"597.80013"	"4"	""			
"598.4454"	"598.44534"	"3"	""			
"598.5912"	"598.59137"	"1"	""			
"598.8288"	"598.83075"	"3p?*"	""			
"598.8288"	"598.83153"	"3p?*"	""			
"598.9339"	"598.93377"	"8"	""			
"599.146"	"599.144912"	"0.5"	""			
"600.3170"	"600.31857"	"1"	""			
"601.9493"	"601.94965"	"4"	""			
"602.72513"	"602.72517"	"7"	""			
"602.8220"	"602.823273"	"1"	""			
"603.0844"	"603.08278"	"1l"	""			
"604.4468"	"604.44783"	"7"	""			
"604.68977"	"604.68967"	"10"	""			
"604.90750"	"604.90749"	"7"	""			
"605.001"	"604.997388"	"0.5h?*"	""			
"605.001"	"605.000778"	"0.5h*"	""			
"606.996"	"606.997684"	"0"	""			
"607.7431"	"607.743032"	"6"	"4.e+05"	C		
"608.3875"	"608.38770"	"2"	""			
"608.4507"	"608.45152"	"2"	""			
"610.19192"	"610.19188"	"4"	""			
"610.2765"	"610.274973"	"1"	""			
"610.35397"	"610.353914"	"26"	"1.7e+06"	C		
"610.832"	"610.83261"	"0?"	""			
"610.915"	"610.91548"	"2p"	""			
"611.1742"	"611.1744"	"2"	""			
"611.49232"	"611.492319"	"537"	"2.00e+07"	B+		
"611.8724"	"611.872214"	"4"	"1.e+05"	E		
