obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Type	
"503.77512"	"503.77504"	"5000"	"4.44e+06"	C+		
"504.1598"	"504.15931"	"10"	""			
"504.2853"	"504.28479"	"150"	""			
"504.5816"	"504.58204"	"150"	""			
"504.6608"	"504.65939"	"30"	""			
"505.29443"	"505.29414"	"250"	""			
"505.9150"	"505.91633"	"20"	""			
"507.40459"	"507.40410"	"30"	"6.0e+04"	C		
"507.42007"	"507.41996"	"350"	"1.42e+06"	C+		
"507.65971"	"507.65898"	"350"	"2.86e+05"	C		
"507.87693"	"507.87645"	"150"	"8.6e+04"	C		
"508.0383"	"508.03836"	"1500"	"3.39e+06"	C+		
"508.1360"	"508.13801"	"150"	""			
"508.39773"	"508.39671"	"250"	"1.25e+05"	C		
"509.0321"	"509.03300"	"80"	""			
"509.90522"	"509.90482"	"250"	""			
"510.47011"	"510.46991"	"350"	""			
"511.36724"	"511.36710"	"750"	"8.67e+05"	C+		
"511.65032"	"511.65021"	"1500"	"2.59e+06"	C+		
"511.70246"	"511.70198"	"350"	"9.6e+04"	C		
"512.05059"	"512.05012"	"250"	"3.47e+05"	C		
"512.1866"	"512.18921"	"20"	""			
"512.22565"	"512.22552"	"1500"	"1.96e+06"	C+		
"512.23613"	"512.23557"	"1500"	"6.30e+05"	C+		
"512.8280"	"512.82850"	"20"	""			
"514.3265"	"514.32611"	"50"	""			
"514.49384"	"514.49371"	"5000"	"3.29e+06"	C+		
"514.5011"	"514.50308"	"5000"	""			
"514.51351"	"514.51322"	"350"	"7.81e+05"	C+		
"515.00842"	"515.00790"	"350"	""			
"515.19610"	"515.19612"	"750"	"1.71e+06"	C+		
"515.44271"	"515.44252"	"500"	"1.29e+06"	C+		
"515.66672"	"515.66670"	"500"	"1.51e+05"	C		
"515.89018"	"515.89000"	"500"	"1.12e+06"	C+		
"516.34847"	"516.34791"	"100"	"4.08e+05"	C		
"518.2320"	"518.23190"	"20"	""			
"518.86122"	"518.86121"	"1500"	""			
"519.13223"	"519.13208"	"350"	"8.66e+05"	C+		
"519.31251"	"519.31238"	"1500"	"9.15e+05"	C+		
"519.3224"	"519.32270"	"1500"	"1.58e+06"	C+		
"520.38962"	"520.38951"	"1500"	"2.31e+06"	C+		
"520.6565"	"520.65761"	"30"	""			
"520.88648"	"520.88636"	"700"	"1.43e+06"	C+		
"521.05672"	"521.05667"	"500"	"4.38e+05"	C+		
"521.43389"	"521.43363"	"350"	"4.39e+05"	C		
"522.23517"	"522.23519"	"500"	""			
"523.40271"	"523.40276"	"500"	""			
"527.40393"	"527.40406"	"400"	""			
"528.00853"	"528.00863"	"500"	""			
"529.81891"	"529.81891"	"1500"	""			
"530.47580"	"530.47573"	"700"	""			
"531.47851"	"531.47859"	"300"	""			
"531.68046"	"531.68048"	"250"	""			
"532.0550"	"532.05511"	"20"	""			
"532.6396"	"532.63952"	"750"	"5.49e+05"	C+		
"533.06720"	"533.06678"	"5"	"6.94e+05"	C+		
"533.07775"	"533.07771"	"6000"	"5.30e+06"	C+		
"533.33083"	"533.33057"	"500"	"4.70e+05"	C+		
"533.5710"	"533.57059"	"100"	"5.2e+04"	C		
"534.10938"	"534.10932"	"10000"	"7.74e+06"	C+		
"534.2700"	"534.2626"	"10"	""			
"534.30048"	"534.29996"	"100"	""			
"534.32834"	"534.32820"	"6000"	"9.76e+06"	C+		
"534.92038"	"534.92021"	"1500"	""			
"535.3513"	"535.35074"	"50"	""			
"535.51640"	"535.51621"	"1500"	"3.35e+05"	C+		
"535.53394"	"535.53389"	"50"	"1.18e+05"	C		
"535.54236"	"535.54214"	"1500"	""			
"535.8020"	"535.80013"	"100"	""			
"536.00121"	"536.00109"	"1500"	""			
"536.04271"	"536.04238"	"350"	"1.89e+05"	C		
"536.22334"	"536.22275"	"250"	"6.9e+04"	C		
"536.62169"	"536.62198"	"250"	"8.7e+04"	C		
"537.23110"	"537.23110"	"750"	""			
"537.4975"	"537.49754"	"500"	"6.44e+05"	C+		
"538.32457"	"538.32461"	"250"	"1.80e+05"	C		
"540.05616"	"540.05618"	"20000"	"9.00e+05"	B+		
"541.012"	"541.01782"	"50"	""			
"541.26490"	"541.26481"	"2500"	"3.01e+05"	C+		
"541.85584"	"541.85577"	"1500"	"3.78e+05"	C		
"542.0155"	"542.01538"	"500"	"4.33e+05"	C		
"543.36513"	"543.36499"	"2500"	"2.83e+05"	B+		
"544.7120"	"544.71041"	"80"	""			
"544.85091"	"544.85085"	"1500"	"4.65e+05"	B+		
"549.44158"	"549.44161"	"500"	""			
"550.73442"	"550.73415"	"250"	""			
"551.1176"	"551.11760"	"30"	""			
"551.1485"	"551.14953"	"150"	""			
"552.063"	"552.06299"	"30"	""			
"553.36788"	"553.36791"	"750"	""			
"553.86510"	"553.86518"	"500"	""			
"555.90978"	"555.90956"	"350"	""			
"556.24416"	"556.24415"	"1500"	"1.43e+05"	C		
"556.27662"	"556.27668"	"5000"	"9.88e+05"	C+		
"556.30531"	"556.30534"	"750"	"1.02e+05"	C		
"557.60394"	"557.60386"	"350"	""			
"558.5905"	"558.59183"	"50"	""			
"558.93472"	"558.93514"	"500"	""			
"559.115"	"559.11081"	"80"	""			
"565.25664"	"565.25658"	"750"	"7.37e+05"	C+		
"565.60258"	"565.60252"	"750"	"3.66e+05"	C+		
"565.66588"	"565.66578"	"5000"	"2.95e+06"	C+		
